epoch,train_accuracy,validation_accuracy,train_kappa,validation_kappa,time,band_1,band_2,band_3,band_4,band_5
269,0.36387,0.31707,0.19721,0.1638,2.89,31,68,101,141,164
270,0.36387,0.31707,0.19731,0.1638,2.9,31,68,101,141,164
271,0.36387,0.31707,0.19739,0.1638,2.91,31,68,101,141,164
272,0.36387,0.31707,0.19754,0.1638,2.92,31,68,101,141,164
273,0.36387,0.31707,0.1977,0.16407,2.93,31,68,101,141,164
274,0.36387,0.31707,0.19781,0.16407,2.95,31,68,101,141,164
275,0.36387,0.31707,0.19794,0.16421,2.96,31,68,101,141,164
276,0.36387,0.31707,0.19802,0.16421,2.97,31,68,101,141,164
277,0.36387,0.31707,0.19804,0.16421,2.98,31,68,101,141,164
278,0.36387,0.31707,0.19804,0.16435,2.99,31,68,101,141,164
279,0.36387,0.31707,0.19812,0.16435,3.0,31,68,101,141,164
280,0.36387,0.31707,0.19817,0.16435,3.01,31,68,101,141,164
281,0.36387,0.31707,0.1982,0.16448,3.03,31,68,101,141,164
282,0.36387,0.31707,0.19825,0.16448,3.04,31,68,101,141,164
283,0.36387,0.31707,0.19828,0.16448,3.05,31,68,101,141,164
284,0.36387,0.31707,0.19828,0.16448,3.06,31,68,101,141,164
285,0.36387,0.31707,0.19837,0.16448,3.07,31,68,101,141,164
286,0.36387,0.31707,0.19838,0.16448,3.08,31,68,101,141,164
287,0.36387,0.31707,0.19845,0.16448,3.09,31,68,101,141,164
288,0.36387,0.31707,0.1985,0.16448,3.1,31,68,101,141,164
289,0.36387,0.31707,0.1985,0.16448,3.11,31,68,101,141,164
290,0.36387,0.31707,0.19851,0.16448,3.12,31,68,101,141,164
291,0.36387,0.31707,0.19853,0.16448,3.13,31,68,101,141,164
292,0.36387,0.31707,0.19855,0.16448,3.15,31,68,101,141,164
293,0.36387,0.31707,0.19855,0.16448,3.16,31,68,101,141,164
294,0.36387,0.31707,0.19855,0.16448,3.17,31,68,101,141,164
295,0.36387,0.31707,0.19855,0.16448,3.18,31,68,101,141,164
296,0.36387,0.31707,0.19855,0.16462,3.19,31,68,101,141,164
297,0.36387,0.31707,0.19855,0.16462,3.2,31,68,101,141,164
298,0.36387,0.31707,0.19855,0.16462,3.21,31,68,101,141,164
299,0.36387,0.31707,0.19856,0.16462,3.22,31,68,101,141,164
300,0.36387,0.31707,0.19856,0.16462,3.23,31,68,101,141,164
301,0.36387,0.31707,0.19856,0.16462,3.24,31,68,101,141,164
302,0.36387,0.31707,0.19859,0.16462,3.25,31,68,101,141,164
303,0.36387,0.31707,0.19861,0.16462,3.26,31,68,101,141,164
304,0.36387,0.31707,0.19861,0.16462,3.27,31,68,101,141,164
305,0.36387,0.31707,0.19861,0.16462,3.28,31,68,101,141,164
306,0.36387,0.31707,0.19861,0.16462,3.29,31,68,101,141,164
307,0.36387,0.31707,0.19861,0.16462,3.31,31,68,101,141,164
308,0.36387,0.31707,0.19861,0.16462,3.32,31,68,101,141,164
309,0.36387,0.31707,0.19863,0.16462,3.33,31,68,101,141,164
310,0.36387,0.31707,0.19864,0.16462,3.34,31,68,101,141,164
311,0.36387,0.31707,0.19866,0.16462,3.35,31,68,101,141,164
312,0.36387,0.31707,0.19866,0.16462,3.36,31,68,101,141,164
313,0.36387,0.31707,0.1987,0.16462,3.37,31,68,101,141,164
314,0.36414,0.31707,0.19912,0.16467,3.38,31,68,101,141,164
315,0.36428,0.31707,0.19941,0.16486,3.39,31,68,101,141,164
316,0.36495,0.31707,0.20033,0.16509,3.4,31,68,101,141,164
317,0.36495,0.31707,0.2004,0.16509,3.41,31,68,101,141,164
318,0.36509,0.31707,0.20065,0.16514,3.42,31,68,101,141,164
319,0.36536,0.31707,0.20108,0.16514,3.43,31,68,101,141,164
320,0.3655,0.31707,0.20129,0.16514,3.45,31,68,101,141,164
321,0.36563,0.31707,0.20158,0.16519,3.46,31,68,101,141,164
322,0.36604,0.31829,0.20227,0.16697,3.47,31,68,101,141,164
323,0.36672,0.31829,0.20321,0.16697,3.48,31,68,101,141,164
324,0.36726,0.31829,0.20396,0.16697,3.49,31,68,101,141,164
325,0.36739,0.31829,0.20419,0.16697,3.5,31,68,101,141,164
326,0.3678,0.31829,0.2048,0.16697,3.51,31,68,101,141,164
327,0.36807,0.31829,0.20521,0.16721,3.52,31,68,101,141,164
328,0.36848,0.31829,0.20579,0.16731,3.53,31,68,101,141,164
329,0.36861,0.31951,0.20602,0.16895,3.54,31,68,101,141,164
330,0.36875,0.31951,0.20628,0.16895,3.55,31,68,101,141,164
331,0.36902,0.32073,0.20672,0.17049,3.56,31,68,101,141,164
332,0.3697,0.32073,0.20774,0.17049,3.57,31,68,101,141,164
333,0.3701,0.32073,0.20833,0.17067,3.58,31,68,101,141,164
334,0.37024,0.32073,0.20856,0.17072,3.59,31,68,101,141,164
335,0.37051,0.32073,0.20893,0.17072,3.6,31,68,101,141,164
336,0.37065,0.32195,0.20921,0.17231,3.62,31,68,101,141,164
337,0.3716,0.32195,0.21062,0.17254,3.63,31,68,101,141,164
338,0.37173,0.32317,0.21088,0.17426,3.64,31,68,101,141,164
339,0.37241,0.32439,0.21181,0.1758,3.65,31,68,101,140,164
340,0.37295,0.32439,0.21258,0.1758,3.66,31,68,101,140,164
341,0.37336,0.32439,0.21319,0.1758,3.67,31,68,101,140,164
342,0.37376,0.32561,0.21381,0.17734,3.68,31,68,101,140,164
343,0.37403,0.32561,0.21423,0.17734,3.69,31,68,101,140,164
344,0.37458,0.32561,0.21505,0.17734,3.7,31,68,101,140,164
345,0.37498,0.32561,0.21561,0.17734,3.71,31,68,101,140,164
346,0.37525,0.32561,0.21609,0.17734,3.73,31,68,101,140,164
347,0.3758,0.32683,0.21682,0.17924,3.74,31,68,101,140,164
348,0.37607,0.32683,0.2172,0.17947,3.75,31,68,101,140,164
349,0.37688,0.32683,0.21833,0.17971,3.76,31,68,101,140,164
350,0.37756,0.32805,0.21928,0.18129,3.77,31,68,101,140,164
351,0.3781,0.32927,0.22007,0.18282,3.78,31,68,101,140,164
352,0.37864,0.32927,0.22084,0.18282,3.79,31,68,101,140,164
353,0.37918,0.32927,0.22155,0.18282,3.8,31,68,101,140,164
354,0.37986,0.32927,0.2225,0.18301,3.81,31,68,101,140,164
355,0.38013,0.32927,0.22289,0.18301,3.82,31,68,101,140,164
356,0.38081,0.32927,0.22388,0.18319,3.83,31,68,101,140,164
357,0.38122,0.33049,0.2245,0.18482,3.84,31,68,101,140,164
358,0.38162,0.33171,0.22508,0.18635,3.85,31,68,101,140,164
359,0.38189,0.33171,0.22551,0.18658,3.86,31,68,101,140,164
360,0.38244,0.33293,0.22622,0.1883,3.88,31,68,101,140,164
361,0.38257,0.33293,0.22658,0.18866,3.89,31,68,101,140,164
362,0.38298,0.33293,0.22713,0.18884,3.9,31,68,101,140,164
363,0.38352,0.33293,0.22786,0.18884,3.91,31,68,101,140,164
