epoch,train_accuracy,validation_accuracy,train_kappa,validation_kappa,time,band_1,band_2,band_3,band_4,band_5,band_6,band_7,band_8,band_9,band_10
188,0.351,0.30366,0.16663,0.12633,2.93,20,31,56,73,92,108,125,142,164,183
189,0.35682,0.30976,0.17494,0.13504,2.95,20,31,56,73,92,108,125,142,164,183
190,0.35859,0.30976,0.17763,0.13519,2.96,20,31,56,73,92,108,125,142,164,183
191,0.35953,0.3122,0.17911,0.13869,2.98,20,31,56,73,92,108,125,142,164,183
192,0.36008,0.31341,0.17999,0.14066,2.99,20,31,56,73,92,108,125,142,164,183
193,0.36102,0.31341,0.1815,0.14081,3.01,20,31,56,73,92,108,125,142,164,183
194,0.3613,0.31341,0.18199,0.14081,3.03,20,31,56,73,92,108,125,142,164,183
195,0.3617,0.31341,0.18281,0.14126,3.04,20,31,56,73,92,108,125,142,164,183
196,0.36197,0.31585,0.18338,0.14475,3.06,20,31,56,73,92,108,125,142,164,183
197,0.36197,0.31707,0.18356,0.14642,3.07,20,31,56,73,92,108,125,142,164,183
198,0.36224,0.31707,0.18418,0.14672,3.09,20,31,56,73,92,108,125,142,164,183
199,0.36252,0.31707,0.18486,0.14687,3.1,20,31,56,73,92,108,125,142,164,183
200,0.36252,0.31707,0.18513,0.1476,3.12,20,31,56,73,92,108,125,142,164,183
201,0.36252,0.31707,0.18537,0.14848,3.13,20,31,56,73,92,108,125,142,164,183
202,0.36292,0.31707,0.18638,0.14893,3.15,20,31,56,73,92,108,125,142,164,183
203,0.36306,0.31707,0.18714,0.14936,3.16,20,31,56,73,92,108,125,142,164,183
204,0.36306,0.31951,0.18745,0.15328,3.18,20,31,56,73,92,108,125,142,164,183
205,0.36306,0.31951,0.18809,0.15386,3.19,20,31,56,73,92,108,125,142,164,183
206,0.36319,0.31951,0.18884,0.1543,3.21,20,31,56,73,92,108,125,142,164,183
207,0.36319,0.31951,0.18955,0.15473,3.22,20,31,56,73,92,108,125,142,164,183
208,0.36319,0.32073,0.19015,0.15683,3.24,20,31,56,73,92,108,125,142,164,183
209,0.36319,0.32073,0.1907,0.15726,3.26,20,31,56,73,92,108,125,142,164,183
210,0.36319,0.32073,0.19112,0.15798,3.27,20,31,56,73,92,108,125,142,164,183
211,0.36319,0.32073,0.19153,0.15842,3.29,20,31,56,73,92,108,125,142,164,183
212,0.36319,0.32073,0.19198,0.15885,3.3,20,31,56,73,92,108,125,142,164,183
213,0.36333,0.32073,0.19248,0.15971,3.32,20,31,56,73,92,108,125,142,164,183
214,0.36333,0.32073,0.19281,0.16,3.33,20,31,56,73,92,108,125,142,164,183
215,0.36333,0.32073,0.19311,0.16,3.35,20,31,56,73,92,108,125,142,164,183
216,0.36333,0.32073,0.19336,0.16029,3.36,20,31,56,73,92,108,125,142,164,183
217,0.36333,0.32073,0.19355,0.16057,3.38,20,31,56,73,92,108,125,142,164,183
218,0.36319,0.32073,0.19356,0.16057,3.4,20,31,56,73,92,108,125,142,164,183
219,0.36319,0.32073,0.19373,0.16057,3.41,20,31,56,73,92,108,125,142,164,183
220,0.36319,0.32073,0.19398,0.16086,3.43,20,31,56,73,92,108,125,142,164,183
221,0.36319,0.32073,0.19403,0.16086,3.44,20,31,56,73,92,108,125,142,164,183
222,0.36319,0.32073,0.19415,0.161,3.46,20,31,56,73,92,108,125,142,164,183
223,0.36306,0.32073,0.19406,0.16115,3.47,20,31,56,73,92,108,125,142,164,183
224,0.36319,0.32073,0.19434,0.16143,3.49,20,31,56,73,92,108,125,142,164,183
225,0.36319,0.32073,0.1944,0.16143,3.5,20,31,56,73,92,108,125,142,164,183
226,0.36319,0.32073,0.19451,0.16143,3.52,20,31,56,73,92,108,125,142,164,183
227,0.36319,0.32073,0.1947,0.16158,3.53,20,31,56,73,92,108,125,142,164,183
228,0.36319,0.32073,0.19481,0.16172,3.55,20,31,56,73,92,108,125,142,164,183
229,0.36319,0.32073,0.1949,0.16201,3.56,20,31,56,73,92,108,125,142,164,183
230,0.36319,0.32073,0.19502,0.16215,3.58,20,31,56,73,92,108,125,142,164,183
231,0.36319,0.32073,0.19515,0.16215,3.59,20,31,56,73,92,108,125,142,164,183
232,0.36306,0.32073,0.19512,0.16229,3.61,20,31,56,73,92,108,125,142,164,183
233,0.36306,0.32073,0.19527,0.16244,3.62,20,31,56,73,92,108,125,142,164,183
234,0.36306,0.32073,0.19547,0.16244,3.64,20,31,56,73,92,108,125,142,164,183
235,0.36306,0.32073,0.19558,0.16272,3.65,20,31,56,73,92,108,125,142,164,183
236,0.36306,0.32073,0.19569,0.16272,3.67,20,31,56,73,92,108,125,142,164,183
237,0.36306,0.32073,0.19571,0.16272,3.68,20,31,56,73,92,108,125,142,164,183
