epoch,train_accuracy,validation_accuracy,train_kappa,validation_kappa,time,band_1,band_2,band_3,band_4,band_5,band_6,band_7,band_8,band_9,band_10,band_11,band_12,band_13,band_14,band_15,band_16,band_17,band_18,band_19,band_20,band_21,band_22,band_23,band_24,band_25,band_26,band_27,band_28,band_29,band_30
126,0.44099,0.42703,0.19082,0.17106,4.61,5,10,14,19,24,24,32,33,38,39,47,48,56,57,61,62,73,73,81,87,86,87,93,97,106,106,111,117,121,125
127,0.4436,0.42342,0.1946,0.16593,4.64,5,10,14,19,24,24,32,33,38,39,47,48,56,57,61,62,73,73,81,87,86,87,93,97,106,106,111,117,121,125
128,0.4438,0.42523,0.19513,0.1693,4.68,5,10,14,19,24,24,32,33,38,39,47,48,56,57,61,62,73,73,81,87,86,87,93,97,106,106,111,117,121,125
129,0.4452,0.42703,0.19703,0.17198,4.71,5,10,14,19,24,24,32,33,38,39,47,48,56,57,61,62,73,73,81,87,86,87,93,96,106,106,111,117,121,125
130,0.4458,0.43063,0.19777,0.17677,4.75,5,10,14,19,24,24,32,33,38,39,47,48,56,57,62,62,73,73,81,87,86,87,93,96,106,106,111,117,121,125
131,0.4464,0.43243,0.1985,0.17929,4.78,5,10,14,19,24,24,32,33,38,39,47,48,56,57,62,62,73,73,81,87,86,87,93,96,106,106,111,117,121,125
132,0.4462,0.43604,0.19808,0.18441,4.82,5,10,14,19,24,24,32,33,38,39,47,48,56,57,62,62,73,73,81,87,86,87,93,96,106,106,111,117,121,125
133,0.4464,0.43604,0.19816,0.18424,4.86,5,10,14,19,24,24,32,33,38,39,47,48,56,57,62,62,73,73,81,87,86,87,93,96,106,106,111,117,121,125
134,0.44741,0.43784,0.19963,0.18726,4.89,5,10,14,19,24,24,32,33,38,39,47,48,56,57,62,62,73,74,81,87,86,87,93,96,106,106,111,117,121,125
135,0.44941,0.43784,0.20258,0.18726,4.93,5,10,14,19,24,24,32,33,38,39,47,48,56,57,62,62,73,74,81,87,86,87,93,96,106,106,111,117,121,125
136,0.45001,0.43784,0.20348,0.18751,4.97,5,10,14,19,24,24,32,33,38,38,47,48,56,57,62,62,73,74,81,87,86,87,92,96,106,106,111,117,121,125
137,0.45001,0.43784,0.20357,0.18751,5.0,5,10,14,19,24,24,32,33,38,38,47,48,56,57,62,62,73,74,81,87,86,87,92,96,106,106,111,117,121,125
138,0.45101,0.44144,0.2051,0.19222,5.04,5,10,14,19,24,24,32,33,38,38,47,48,56,57,62,62,73,74,81,87,86,87,92,96,106,106,111,117,121,125
139,0.45161,0.44324,0.20594,0.19515,5.07,5,10,14,19,24,24,32,34,38,38,47,48,56,57,62,62,73,74,81,87,86,87,92,96,106,106,110,117,122,125
