epoch,train_accuracy,validation_accuracy,train_kappa,validation_kappa,time,band_1,band_2,band_3,band_4,band_5,band_6,band_7,band_8,band_9,band_10,band_11,band_12,band_13,band_14,band_15,band_16,band_17,band_18,band_19,band_20,band_21,band_22,band_23,band_24,band_25
165,0.51272,0.52072,0.29453,0.30751,5.44,6,13,18,24,24,28,38,38,48,48,63,63,63,64,77,83,88,87,91,95,103,110,111,121,124
166,0.51613,0.52793,0.29987,0.31869,5.47,6,13,18,24,24,28,38,38,48,48,63,63,63,64,77,83,88,87,91,95,103,110,111,121,124
167,0.51853,0.53694,0.30365,0.33238,5.5,6,13,18,24,24,28,38,38,48,48,63,63,63,64,77,83,88,87,91,95,103,110,111,121,124
168,0.52034,0.54054,0.30657,0.33785,5.53,6,13,18,24,24,28,38,38,48,48,63,63,63,64,77,83,88,87,91,95,103,110,111,121,124
169,0.52334,0.54054,0.31118,0.33798,5.56,6,13,18,24,24,28,38,38,48,48,63,63,63,64,77,83,88,87,91,95,103,110,111,121,124
170,0.52394,0.54234,0.31225,0.34099,5.59,6,13,18,24,24,28,38,38,48,48,63,63,63,64,77,83,89,87,91,95,103,110,111,121,124
171,0.52695,0.54414,0.31677,0.34372,5.62,6,13,18,24,24,28,38,38,48,48,63,63,63,64,77,83,89,87,91,95,103,110,111,121,124
172,0.52755,0.54775,0.31775,0.34917,5.65,6,13,18,24,24,28,38,38,48,48,63,63,63,64,77,83,89,87,91,95,103,110,111,121,124
173,0.52855,0.54775,0.3193,0.34917,5.69,6,13,18,24,24,28,38,38,48,48,63,63,63,64,77,83,89,87,91,95,103,110,111,121,124
174,0.52955,0.54955,0.32084,0.3519,5.72,6,13,18,24,24,28,38,38,48,48,63,63,63,64,77,83,89,87,91,95,103,110,111,121,124
